dt	company	stockValue	sentiment	keywords	ref
2/26/2018	Apple	178.97	0.37032967	['really', 'apples', 'solutions', 'know', 'partners', 'canalys', 'help', 'space', 'good', 'apple', 'enterprise', 'channel', 'ios']	https://www.computerworld.com/article/3257925/apple-mac/interview-khronos-brings-vulkan-applications-to-macs-iphones-ipads.html
3/14/2018	Apple	178.44	0.21038961	['controls', 'kids', 'devices', 'screentime', 'concerns', 'parental', 'features', 'screen', 'debuts', 'apple', 'company', 'help', 'parents', 'page']	http://money.cnn.com/2018/03/14/technology/apple-parental-page/index.html
3/9/2018	Google	1,149.88	0.051190476	['winter', 'google', 'paralympic', 'opening', 'celebrated', 'paralympics', 'doodle', 'athletes', 'doodles', '2018', 'games']	http://www.dailymail.co.uk/sciencetech/article-5482301/Paralympics-2018-celebrated-Google-Doodle.html
3/13/2018	Google	1,140.52	0.076420455	['speculative', 'google', 'cryptocurrencies', 'unit', 'ban', 'stock', 'youtube', 'policy', 'spreadbetting', 'ads', 'financial', 'wagering']	https://www.wsj.com/articles/google-to-ban-ads-for-cryptocurrencies-1521000060
3/13/2018	Google	1,171.65	0.183030303	['prioritize', 'paying', 'google', 'articles', 'help', 'subscribers', 'publishers', 'york', 'times', 'media', 'digital', 'support', 'revenue']	https://www.bloomberg.com/news/articles/2018-03-13/google-is-said-to-prioritize-stories-for-paying-news-subscribers
3/6/2018	Google	1,100.90	0.023953824	['facebook', 'president', 'google', 'right', 'social', 'tech', 'foils', 'media', 'companies', 'political', 'conservative', 'reading']	https://www.nytimes.com/2018/03/06/business/media/paul-schweizer-google-facebook.html
3/7/2018	Google	1,114.93	0.083673469	['google', 'restaurant', 'maps', 'left', 'reviews', 'according', 'instead', 'destroyed', 'staff', 'zagat', 'guide']	https://www.bloomberg.com/news/articles/2018-03-07/here-s-how-google-almost-destroyed-zagat
3/6/2018	Google	1,103.01	0.229166667	['machines', 'learn', 'ways', 'google', 'learning', 'ai', 'wyoming', 'networks', 'researchers', 'tasks', 'neural', 'reading']	https://www.nytimes.com/2018/03/06/technology/google-artificial-intelligence.html
3/13/2018	Google	1,171.65	0.188888889	['retinopathy', 'diabetic', 'software', 'building', 'algorithms', 'ai', 'specialists', 'program', 'used', 'retinal', 'better', 'research', 'peng', 'disease', 'dr', 'googles', 'eye', 'detecting']	https://www.newswise.com/articles/google%E2%80%99s-ai-program:-building-better-algorithms-for-detecting-eye-disease-
2/22/2018	IBM	154.19	0.051659452	['nyseibm', 'business', 'million', 'international', 'machs', 'croftleominster', 'stock', 'invested', 'ibm', '460', 'stake', 'corporation', 'shares', 'machines', 'increased', 'rating']	https://bzweekly.com/2018/02/22/croft-leominster-inc-stake-in-international-business-machs-ibm-increased-by-4-60-million/
3/7/2018	IBM	158.34	0.08	['search', 'platform', 'data', 'datasets', 'aims', 'service', 'weather', 'developers', 'launch', 'ibm', 'geospatial', 'satellite', 'cloud', 'pairs', 'big', 'geoscope', 'ibms']	http://www.zdnet.com/article/ibms-new-launch-pairs-geoscope-aims-to-be-search-for-geospatial-big-data/
3/5/2018	IBM	156.89	0.282644628	['settlement', 'noncompete', 'mcintyre', 'diversity', 'officer', 'unusual', 'ibms', 'court', 'reaches', 'ending', 'ibm', 'microsoft', 'suit', 'chief']	https://www.geekwire.com/2018/ibm-reaches-settlement-new-microsoft-diversity-chief-ending-unusual-non-compete-suit/
3/5/2018	IBM	156.89	0.10959596	['told', 'noncompete', 'yearlong', 'settles', 'diversity', 'york', 'exec', 'jan', 'agreement', 'hired', 'ibm', 'microsoft', 'suit', 'chief']	https://www.law360.com/articles/1018838
3/7/2018	IBM	158.34	0.6	['combat', 'told', 'think', 'surface', 'design', 'ibm', 'synthetic', 'tv', 'molecule', 'station', 'specifically', 'video', 'researcher', 'quite', 'superbugs', 'plastic', 'researchers', 'san']	https://www.wraltechwire.com/2018/03/07/ibm-researchers-design-plastic-molecule-to-combat-superbugs-video/
3/8/2018	IBM	159.08	0.283333333	['vice', 'hack', 'miners', 'watson', 'crypto', 'mining', 'cloud', 'karpovich', 'teams', 'inside', 'ibm', 'way', 'ibms']	https://cheddar.com/videos/inside-crypto-miners-hack-at-ibm
3/8/2018	IBM	159.08	0.056818182	['ground', 'theres', 'contaminated', 'site', 'thats', 'ou7', 'endicott', 'method', 'decontaminated', 'clean', 'zero', 'remains', 'ibm', 'state']	https://wskg.org/news/small-part-of-ibm-endicott-site-almost-decontaminated-but-ground-zero-remains/
3/12/2018	IBM	160.12	0.282670455	['openpower', 'pcie', 'nvm', 'system', 'rackspace', 'cpu', 'performance', 'storage', 'gen4', 'power9', 'production', 'xilinx', 'data', 'ready', 'ibm', 'eideticom', 'worlds']	https://www.prnewswire.com/news-releases/eideticom-ibm-rackspace-and-xilinx-demonstrate-worlds-first-pcie-gen4-nvm-express-production-ready-system-676532203.html
