dt,stock,stock_ID,stockValue
3/7/2018,Amazon,AMZN,1533.55
3/7/2018,Apple,AAPL,175.17
3/7/2018,Google,GOOGL,1099.40
3/7/2018,IBM,IBM,156.81
3/7/2018,Intel,intel,50.72
3/7/2018,Microsoft,MSFT,93.06
3/7/2018,Amazon,AMZN,1544.90
3/7/2018,Apple,AAPL,175.02
3/7/2018,Google,GOOGL,1114.93
3/7/2018,IBM,IBM,158.34
3/7/2018,Intel,intel,51.32
3/7/2018,Microsoft,MSFT,93.86
3/8/2018,Amazon,AMZN,1551.10
3/8/2018,Apple,AAPL,175.44
3/8/2018,Google,GOOGL,1118.74
3/8/2018,IBM,IBM,159.08
3/8/2018,Intel,intel,51.84
3/8/2018,Microsoft,MSFT,94.16
3/8/2018,Amazon,AMZN,1550.43
3/8/2018,Apple,AAPL,176.65
3/8/2018,Google,GOOGL,1122.23
3/8/2018,IBM,IBM,156.09
3/8/2018,Intel,intel,50.89
3/8/2018,Microsoft,MSFT,94.38
3/8/2018,Amazon,AMZN,1551.86
3/8/2018,Apple,AAPL,176.94
3/8/2018,Google,GOOGL,1129.38
3/8/2018,IBM,IBM,156.25
3/8/2018,Intel,intel,50.74
3/8/2018,Microsoft,MSFT,94.43
3/9/2018,Amazon,AMZN,1563.50
3/9/2018,Apple,AAPL,177.87
3/9/2018,Google,GOOGL,1138.43
3/9/2018,IBM,IBM,157.43
3/9/2018,Intel,intel,51.35
3/9/2018,Microsoft,MSFT,95.20
3/9/2018,Amazon,AMZN,1569.75
3/9/2018,Apple,AAPL,179.11
3/9/2018,Google,GOOGL,1149.88
3/9/2018,IBM,IBM,158.47
3/9/2018,Intel,intel,52.18
3/9/2018,Microsoft,MSFT,96.01
3/9/2018,Amazon,AMZN,1578.90
3/9/2018,Apple,AAPL,179.99
3/9/2018,Google,GOOGL,1160.84
3/9/2018,IBM,IBM,159.32
3/9/2018,Intel,intel,52.19
3/9/2018,Microsoft,MSFT,96.54
3/10/2018,Amazon,AMZN,1578.89
3/10/2018,Apple,AAPL,179.98
3/10/2018,Google,GOOGL,1160.84
3/10/2018,IBM,IBM,159.31
3/10/2018,Intel,intel,52.19
3/10/2018,Microsoft,MSFT,96.54
3/10/2018,Amazon,AMZN,1578.89
3/10/2018,Apple,AAPL,179.98
3/10/2018,Google,GOOGL,1160.84
3/10/2018,IBM,IBM,159.31
3/10/2018,Intel,intel,52.19
3/10/2018,Microsoft,MSFT,96.54
3/10/2018,Amazon,AMZN,1578.89
3/10/2018,Apple,AAPL,179.98
3/10/2018,Google,GOOGL,1160.84
3/10/2018,IBM,IBM,159.31
3/10/2018,Intel,intel,52.19
3/10/2018,Microsoft,MSFT,96.54
3/11/2018,Amazon,AMZN,1578.89
3/11/2018,Apple,AAPL,179.98
3/11/2018,Google,GOOGL,1160.84
3/11/2018,IBM,IBM,159.31
3/11/2018,Intel,intel,52.19
3/11/2018,Microsoft,MSFT,96.54
3/11/2018,Amazon,AMZN,1578.89
3/11/2018,Apple,AAPL,179.98
3/11/2018,Google,GOOGL,1160.84
3/11/2018,IBM,IBM,159.31
3/11/2018,Intel,intel,52.19
3/11/2018,Microsoft,MSFT,96.54
3/11/2018,Amazon,AMZN,1578.89
3/11/2018,Apple,AAPL,179.98
3/11/2018,Google,GOOGL,1160.84
3/11/2018,IBM,IBM,159.31
3/11/2018,Intel,intel,52.19
3/11/2018,Microsoft,MSFT,96.54
3/12/2018,Amazon,AMZN,1592.00
3/12/2018,Apple,AAPL,180.35
3/12/2018,Google,GOOGL,1165.00
3/12/2018,IBM,IBM,159.31
3/12/2018,Intel,intel,51.86
3/12/2018,Microsoft,MSFT,96.54
3/12/2018,Amazon,AMZN,1601.44
3/12/2018,Apple,AAPL,181.74
3/12/2018,Google,GOOGL,1174.08
3/12/2018,IBM,IBM,160.12
3/12/2018,Intel,intel,51.24
3/12/2018,Microsoft,MSFT,96.75
3/12/2018,Amazon,AMZN,1598.50
3/12/2018,Apple,AAPL,181.72
3/12/2018,Google,GOOGL,1165.93
3/12/2018,IBM,IBM,160.27
3/12/2018,Intel,intel,51.52
3/12/2018,Microsoft,MSFT,96.77
3/13/2018,Amazon,AMZN,1616.56
3/13/2018,Apple,AAPL,182.49
3/13/2018,Google,GOOGL,1171.65
3/13/2018,IBM,IBM,160.26
3/13/2018,Intel,intel,52.50
3/13/2018,Microsoft,MSFT,97.07
3/13/2018,Amazon,AMZN,1591.59
3/13/2018,Apple,AAPL,182.00
3/13/2018,Google,GOOGL,1151.00
3/13/2018,IBM,IBM,160.13
3/13/2018,Intel,intel,52.13
3/13/2018,Microsoft,MSFT,95.08
3/13/2018,Amazon,AMZN,1588.13
3/13/2018,Apple,AAPL,179.98
3/13/2018,Google,GOOGL,1140.52
3/13/2018,IBM,IBM,159.30
3/13/2018,Intel,intel,51.78
3/13/2018,Microsoft,MSFT,94.43
3/14/2018,Amazon,AMZN,1597.76
3/14/2018,Apple,AAPL,180.35
3/14/2018,Google,GOOGL,1147.31
